[2020-01-03 15:34:12,442] [INFO] : RootScreen: App has started
[2020-01-03 15:34:40,252] [DEBUG] : LanguageScreen: mk language is used
[2020-01-03 15:34:41,201] [DEBUG] : Homeboard:  No-user
[2020-01-03 15:34:41,201] [DEBUG] : Homeboard: labels are configured.
[2020-01-03 15:34:42,003] [DEBUG] : NewPuzzleScreen: labels are configured
[2020-01-03 15:34:46,243] [DEBUG] : NewPuzzleScreen: DIRECTORY_CALLED is changed to FullPuzzle
[2020-01-03 15:34:46,245] [DEBUG] : ChooseFileScreen: labels are configured.
[2020-01-03 15:35:04,639] [INFO] : ChooseFileScreen: file C:\Users\Filip.Dimovski\Desktop\FullPicture.png is copied
[2020-01-03 15:35:04,650] [DEBUG] : NewPuzzleScreen: labels are configured
[2020-01-03 15:35:05,613] [DEBUG] : NewPuzzleScreen: DIRECTORY_CALLED is changed to PiecesPuzzle
[2020-01-03 15:35:05,615] [DEBUG] : ChooseFileScreen: labels are configured.
[2020-01-03 15:35:08,183] [INFO] : ChooseFileScreen: file C:\Users\Filip.Dimovski\Desktop\PiecesPuzzle.jpg is copied
[2020-01-03 15:35:08,184] [DEBUG] : NewPuzzleScreen: labels are configured
[2020-01-03 15:35:10,449] [DEBUG] : PuzzleConnection: check_user_puzzle_rel:False
[2020-01-03 15:35:10,451] [INFO] : NewPuzzleScreen: Folder users/0/test_20200103_153510 is created.
[2020-01-03 15:35:10,453] [INFO] : NewPuzzleScreen: file users/0/test_20200103_153510/FullPuzzle.png is moved
[2020-01-03 15:35:10,456] [INFO] : NewPuzzleScreen: file users/0/test_20200103_153510/PiecesPuzzle.png is moved
[2020-01-03 15:35:10,598] [DEBUG] : PuzzleSolution: progressbar pop is open
[2020-01-03 15:35:10,599] [DEBUG] : PuzzleSolution: initialize
[2020-01-03 15:35:10,599] [DEBUG] : PuzzleSolution: solve_puzzle is called.
[2020-01-03 15:35:10,599] [DEBUG] : PuzzleSolution: solve_puzzle_algorithm is called.
[2020-01-03 15:35:10,630] [DEBUG] : PuzzleConnection: update_puzzle_solution called for Puzzle id:0. Solution Path:users/0/test_20200103_153510//SolutionPuzzle.png
[2020-01-03 15:35:10,631] [INFO] : NewPuzzleScreen: Puzzle is solved.
[2020-01-03 15:35:10,633] [DEBUG] : PictureViewScreen: labels are configured
[2020-01-03 15:35:10,674] [INFO] : PuzzleSolution: Number of Contours found = 25
[2020-01-03 15:35:10,726] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20200103_153510/piece1.png is created
[2020-01-03 15:35:10,727] [DEBUG] : PuzzleSolution:  future_matches is called.
[2020-01-03 15:35:11,123] [DEBUG] : PuzzleSolution:  future_matches match found at: 548.4215698242188 : 287.5209655761719
[2020-01-03 15:35:11,148] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20200103_153510/piece2.png is created
[2020-01-03 15:35:11,148] [DEBUG] : PuzzleSolution:  future_matches is called.
[2020-01-03 15:35:11,333] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20200103_153510/piece3.png is created
[2020-01-03 15:35:11,333] [DEBUG] : PuzzleSolution:  future_matches is called.
[2020-01-03 15:35:11,517] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20200103_153510/piece4.png is created
[2020-01-03 15:35:11,517] [DEBUG] : PuzzleSolution:  future_matches is called.
[2020-01-03 15:35:11,676] [DEBUG] : PuzzleSolution: progress_bar.value =5.0
[2020-01-03 15:35:11,704] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20200103_153510/piece5.png is created
[2020-01-03 15:35:11,704] [DEBUG] : PuzzleSolution:  future_matches is called.
[2020-01-03 15:35:11,779] [DEBUG] : PuzzleSolution: progress_bar.value =9.0
[2020-01-03 15:35:11,894] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20200103_153510/piece6.png is created
[2020-01-03 15:35:11,894] [DEBUG] : PuzzleSolution:  future_matches is called.
[2020-01-03 15:35:12,074] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20200103_153510/piece7.png is created
[2020-01-03 15:35:12,075] [DEBUG] : PuzzleSolution:  future_matches is called.
[2020-01-03 15:35:12,256] [DEBUG] : PuzzleSolution:  future_matches match found at: 394.5739440917969 : 114.53587532043457
[2020-01-03 15:35:12,282] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20200103_153510/piece8.png is created
[2020-01-03 15:35:12,282] [DEBUG] : PuzzleSolution:  future_matches is called.
[2020-01-03 15:35:12,493] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20200103_153510/piece9.png is created
[2020-01-03 15:35:12,493] [DEBUG] : PuzzleSolution:  future_matches is called.
[2020-01-03 15:35:12,679] [DEBUG] : PuzzleSolution: progress_bar.value =13.0
