[2019-12-30 08:17:14,376] [INFO] : RootScreen: App has started
[2019-12-30 08:17:35,142] [DEBUG] : LanguageScreen: en language is used
[2019-12-30 08:17:38,794] [DEBUG] : Homeboard:  No-user
[2019-12-30 08:17:38,794] [DEBUG] : Homeboard: labels are configured.
[2019-12-30 08:17:41,188] [DEBUG] : NewPuzzleScreen: labels are configured
[2019-12-30 08:17:42,463] [DEBUG] : NewPuzzleScreen: DIRECTORY_CALLED is changed to FullPuzzle
[2019-12-30 08:17:42,465] [DEBUG] : ChooseFileScreen: labels are configured.
[2019-12-30 08:17:56,710] [INFO] : ChooseFileScreen: file C:\Users\Filip.Dimovski\Desktop\Puzzles\Good Puzzles\Farm1\FullPuzzle.png is copied
[2019-12-30 08:17:56,724] [DEBUG] : NewPuzzleScreen: labels are configured
[2019-12-30 08:17:57,769] [DEBUG] : NewPuzzleScreen: DIRECTORY_CALLED is changed to PiecesPuzzle
[2019-12-30 08:17:57,769] [DEBUG] : ChooseFileScreen: labels are configured.
[2019-12-30 08:17:59,813] [INFO] : ChooseFileScreen: file C:\Users\Filip.Dimovski\Desktop\Puzzles\Good Puzzles\Farm1\PiecesPuzzle.png is copied
[2019-12-30 08:17:59,814] [DEBUG] : NewPuzzleScreen: labels are configured
[2019-12-30 08:18:05,346] [DEBUG] : PuzzleConnection: check_user_puzzle_rel:False
[2019-12-30 08:18:05,349] [INFO] : NewPuzzleScreen: Folder users/0/test_20191230_081805 is created.
[2019-12-30 08:18:05,352] [INFO] : NewPuzzleScreen: file users/0/test_20191230_081805/FullPuzzle.png is moved
[2019-12-30 08:18:05,355] [INFO] : NewPuzzleScreen: file users/0/test_20191230_081805/PiecesPuzzle.png is moved
[2019-12-30 08:18:05,394] [DEBUG] : PuzzleSolution: progressbar pop is open
[2019-12-30 08:18:05,394] [DEBUG] : PuzzleSolution: initialize
[2019-12-30 08:18:05,395] [DEBUG] : PuzzleSolution: solve_puzzle is called.
[2019-12-30 08:18:05,395] [DEBUG] : PuzzleSolution: solve_puzzle_algorithm is called.
[2019-12-30 08:18:05,419] [DEBUG] : PuzzleConnection: update_puzzle_solution called for Puzzle id:0. Solution Path:users/0/test_20191230_081805//SolutionPuzzle.png
[2019-12-30 08:18:05,419] [INFO] : NewPuzzleScreen: Puzzle is solved.
[2019-12-30 08:18:05,421] [DEBUG] : PictureViewScreen: labels are configured
[2019-12-30 08:18:05,483] [INFO] : PuzzleSolution: Number of Contours found = 4
[2019-12-30 08:18:05,522] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20191230_081805/piece1.png is created
[2019-12-30 08:18:05,523] [DEBUG] : PuzzleSolution:  future_matches is called.
[2019-12-30 08:18:05,744] [DEBUG] : PuzzleSolution:  future_matches match found at: 134.18741302490236 : 182.47349548339844
[2019-12-30 08:18:05,786] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20191230_081805/piece2.png is created
[2019-12-30 08:18:05,786] [DEBUG] : PuzzleSolution:  future_matches is called.
[2019-12-30 08:18:05,934] [DEBUG] : PuzzleSolution:  future_matches match found at: 329.6709259033203 : 172.75797119140626
[2019-12-30 08:18:05,960] [DEBUG] : PuzzleSolution:  part puzzle users/0/test_20191230_081805/piece3.png is created
[2019-12-30 08:18:05,961] [DEBUG] : PuzzleSolution:  future_matches is called.
[2019-12-30 08:18:06,086] [DEBUG] : PuzzleSolution:  future_matches match found at: 432.31327730066636 : 162.5999226289637
[2019-12-30 08:18:06,490] [DEBUG] : PuzzleSolution: progress_bar.value =26.0
[2019-12-30 08:18:06,553] [DEBUG] : PuzzleSolution: progress_bar.value =51.0
[2019-12-30 08:18:07,494] [DEBUG] : PuzzleSolution: progress_bar.value =76.0
[2019-12-30 08:18:07,564] [DEBUG] : PuzzleSolution: progress_bar.value =100.0
[2019-12-30 08:18:08,405] [DEBUG] : PictureViewScreen: full_puzzle_on_click is called for puzzle: users/0/test_20191230_081805/FullPuzzle.png 
[2019-12-30 08:18:08,417] [INFO] : PictureScreen: called for picture:users/0/test_20191230_081805/FullPuzzle.png
[2019-12-30 08:18:13,171] [DEBUG] : PictureViewScreen: labels are configured
[2019-12-30 08:18:14,208] [DEBUG] : PictureViewScreen: pieces_puzzle_on_click is called for puzzle: users/0/test_20191230_081805/PiecesPuzzle.png 
[2019-12-30 08:18:14,223] [INFO] : PictureScreen: called for picture:users/0/test_20191230_081805/PiecesPuzzle.png
[2019-12-30 08:18:17,185] [DEBUG] : PictureViewScreen: labels are configured
[2019-12-30 08:18:17,950] [DEBUG] : PictureViewScreen: full_puzzle_on_click is called for puzzle: users/0/test_20191230_081805/FullPuzzle.png 
[2019-12-30 08:18:17,950] [INFO] : PictureScreen: called for picture:users/0/test_20191230_081805/FullPuzzle.png
[2019-12-30 08:18:19,198] [DEBUG] : PictureViewScreen: labels are configured
[2019-12-30 08:18:20,348] [DEBUG] : PictureViewScreen: pieces_puzzle_on_click is called for puzzle: users/0/test_20191230_081805/PiecesPuzzle.png 
[2019-12-30 08:18:20,349] [INFO] : PictureScreen: called for picture:users/0/test_20191230_081805/PiecesPuzzle.png
[2019-12-30 08:18:21,765] [DEBUG] : PictureViewScreen: labels are configured
[2019-12-30 08:18:22,989] [DEBUG] : PictureViewScreen: solution_puzzle_on_click is called for puzzle: users/0/test_20191230_081805/SolutionPuzzle.png 
[2019-12-30 08:18:23,011] [INFO] : PictureScreen: called for picture:users/0/test_20191230_081805/SolutionPuzzle.png
